time,rule,magic,signal_id,dir,ref_entry,close_price,pips,closed_count,profit_usd,hold_min,remain,reason
2026.09.02 16:34:19,J,600009,-1004472107780_1740,SELL,4366.20,4361.80,44.0,0,0.00,0.0,2,J:TP1到達
2026.09.02 16:34:22,D,600003,-1004472107780_1740,SELL,4366.00,4361.80,42.0,0,0.00,0.0,2,D:TP1到達
2026.09.02 16:34:25,N,600013,-1004472107780_1740,SELL,4365.99,4361.80,41.9,0,0.00,0.0,0,N:1段目(+40p)
2026.09.02 16:34:25,B,600001,-1004472107780_1740,SELL,4366.67,4361.80,48.7,0,0.00,0.0,2,B:TP1到達
2026.09.02 16:34:28,C,600002,-1004472107780_1740,SELL,4366.67,4361.80,48.7,0,0.00,0.0,0,C:TP1到達
2026.09.02 16:34:30,F,600005,-1004472107780_1740,SELL,4366.61,4361.80,48.1,0,0.00,0.0,0,F:+%.0fp到達
2026.09.02 16:34:32,H,600007,-1004472107780_1740,SELL,4366.76,4361.80,49.6,0,0.00,0.0,2,H:TP1到達
2026.09.02 16:34:35,G,600006,-1004472107780_1740,SELL,4366.76,4361.80,49.6,0,0.00,0.0,1,G:1段目(+%.0fp)到達
2026.09.02 16:35:00,J,600009,-1004472107780_1740,SELL,4366.20,4364.80,14.0,2,1.73,1.1,0,SL確定足突破
2026.09.02 16:36:00,O,600014,-1004472107780_1740,SELL,4365.90,4367.05,-11.5,1,-1.26,2.3,0,SL確定足突破
2026.09.02 16:36:00,H,600007,-1004472107780_1740,SELL,4366.76,4367.05,-2.9,2,-2.51,2.2,0,SL確定足突破
2026.09.02 16:36:01,I,600008,-1004472107780_1740,SELL,4366.35,4367.05,-7.0,2,-2.94,1.9,0,SL確定足突破
2026.09.02 16:37:38,A,600000,-1004472107780_1740,SELL,4368.00,4363.75,42.5,0,0.00,0.0,8,A:TP1到達
2026.09.02 16:37:40,E,600004,-1004472107780_1740,SELL,4368.00,4363.41,45.9,0,0.00,0.0,8,E:1.0倍水準到達
2026.09.02 16:37:47,E,600004,-1004472107780_1740,SELL,4368.00,4362.78,52.2,0,0.00,0.0,4,E:1.1倍水準到達
2026.09.02 16:40:43,K,600010,-1004472107780_1740,SELL,4368.58,4365.55,30.3,0,0.00,0.0,9,K:CLOSE_ALL
2026.09.02 16:42:01,E,600004,-1004472107780_1740,SELL,4368.00,4369.77,-17.7,4,-9.33,6.6,0,SL確定足突破
2026.09.02 16:43:02,D,600003,-1004472107780_1740,SELL,4366.00,4372.75,-67.5,8,-44.27,6.7,0,SL確定足突破
2026.09.02 16:43:04,L,600011,-1004472107780_1740,SELL,4369.12,4372.75,-36.3,10,-66.43,7.3,0,SL確定足突破
2026.09.02 16:43:06,B,600001,-1004472107780_1740,SELL,4366.67,4372.75,-60.8,8,-48.81,6.8,0,SL確定足突破
2026.09.02 16:43:06,G,600006,-1004472107780_1740,SELL,4365.16,4372.75,-75.9,1,-9.36,9.2,0,SL確定足突破
2026.09.03 10:16:23,F,600005,-1004472107780_1757,BUY,4421.92,4424.01,20.9,3,0.12,5.9,3,F:半数決済(+20p)
2026.09.03 10:19:04,N,600013,-1004472107780_1757,BUY,4421.92,4425.98,40.6,2,3.24,9.4,4,N:1段目(+40p)
